Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
07/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,U.S. Bancorp,CA,92591,,N/A,Referral,07/31/2013,Closed with monetary relief,Yes,No,469632
07/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",,,,Bank of America,IL,60443,,N/A,Web,08/01/2013,Closed with explanation,Yes,No,469173
07/29/2013,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,Wells Fargo & Company,CA,96088,,N/A,Web,08/01/2013,Closed with explanation,Yes,No,469185
07/29/2013,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,CA,91605,,N/A,Web,07/29/2013,Closed with non-monetary relief,Yes,No,469201
07/29/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",OH,45150,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469210
07/29/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Northland Group, Inc.",FL,32233,Servicemember,N/A,Referral,08/01/2013,Closed with explanation,Yes,No,469252
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"SunTrust Banks, Inc.",FL,32084,,N/A,Referral,08/02/2013,Closed with non-monetary relief,Yes,No,469863
07/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,FL,33234,,N/A,Web,07/30/2013,Closed with non-monetary relief,Yes,No,469255
07/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"SunTrust Banks, Inc.",FL,32505,,N/A,Referral,08/02/2013,Closed,Yes,No,469811
07/29/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Santander Consumer USA Holdings Inc,CA,92677,,N/A,Referral,08/05/2013,Closed,Yes,Yes,479329
07/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Land/Home Financial Services,MI,48382,,N/A,Fax,08/06/2013,Closed with explanation,No,,454668
07/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,NJ,08530,,N/A,Postal mail,07/30/2013,Closed with monetary relief,Yes,No,475273
07/29/2013,Credit card,,Delinquent account,,,,Amex,TX,78232,,N/A,Web,07/29/2013,Closed with monetary relief,Yes,No,479990
07/29/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,GA,30041,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469293
07/29/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,Wells Fargo & Company,TX,77381,,N/A,Postal mail,07/30/2013,Closed with explanation,Yes,No,469309
07/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Ocwen,MA,02368,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469334
07/29/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",FL,33133,,N/A,Web,07/30/2013,Closed with explanation,Yes,No,469340
07/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,CIT Bank National Association,NY,11101,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,469487
